year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2012.0,0.778,37.45,10.35,4.62,2.33,29.98,6.28,-3.39,2.063,0.531,3.543,0.78,4.729,2.76,155.52,4.33,12.442,3.73,2.842,0.5,1.51,0.78,0.183
2018.0,1.105,7.62,-7.41,-15.27,-8.03,8.54,-20.08,6.66,0.935,0.494,-31.282,1.033,31.889,-10.888,-3.34,0.02,-169.926,-14.517,2.483,0.6,1.4,30.58,0.082
2019.0,1.92,44.5,10.67,7.86,11.82,30.17,20.25,10.5,2.013,1.347,1.374,0.579,3.238,20.938,44.31,2.37,15.372,4.218,1.792,0.75,1.64,-10.28,0.172
2012.0,0.728,37.8,7.51,5.17,7.02,20.17,10.13,1.99,6.804,1.366,1.617,0.618,3.45,0.055,52.32,4.4,11.041,2.19,2.842,0.5,1.51,0.78,0.305
2004.0,0.87,33.44,33.44,14.68,6.66,327.21,14.31,-5.25,1.363,0.472,46.272,0.979,4.753,4.971,81.69,3.71,19.729,64.556,1.35,4.39,2.43,33.32,0.323
2020.0,0.962,80.09,19.72,12.01,4.99,10.7,12.74,0.09,1.45,0.425,3.267,0.766,6.215,7.16,114.75,2.9,41.195,8.392,0.85,0.23,-10.36,-32.6,0.207
2017.0,56.779,5.63,5.63,4.62,0.39,25.9,-3.65,-44.89,1.326,0.08,65.432,0.985,1.814,10.392,48.16,5.38,8.663,2.137,2.683,0.29,2.66,21.27,8.132
2022.0,0.863,82.71,38.38,24.1,4.58,7.1,6.01,7.67,1.795,0.18,1.028,0.507,5.596,6.626,79.1,6.7,8.723,0.969,9.05,1.47,4.35,39.61,0.535
2020.0,1.831,43.75,10.51,7.92,10.26,24.88,16.73,3.68,1.871,1.208,1.247,0.555,3.371,25.21,17.0,2.97,14.144,3.2,0.85,0.23,-10.36,-32.6,0.139
2020.0,32.595,2.79,2.79,2.08,0.28,10.8,8.42,-24.79,1.461,0.088,56.251,0.983,3.235,5.653,65.07,6.6,15.192,1.594,0.85,0.23,-10.36,-32.6,4.19
2023.0,1.375,39.76,39.76,30.27,0.66,13.38,3.78,51.61,0.142,0.021,17.626,0.946,93.321,0.597,35.49,8.83,4.377,0.519,7.383,4.68,0.1,-17.01,-0.258
2003.0,0.033,29.22,29.22,-21.04,0.65,17.33,1.66,6.62,0.029,0.029,25.46,0.962,74.673,0.655,48.42,3.82,11.926,1.953,1.34,3.69,3.15,10.76,-0.042
2019.0,0.958,80.9,21.85,19.54,2.42,14.51,6.4,-3.4,0.161,0.119,4.527,0.819,23.419,605.1,63.73,3.34,17.611,2.448,1.792,0.75,1.64,-10.28,0.054
2006.0,1.205,27.85,15.02,10.09,22.63,122.37,52.52,8.67,3.413,2.107,4.753,0.826,2.223,20.555,34.54,2.48,13.329,16.311,2.317,4.64,2.39,19.9,0.287
2011.0,21.246,6.15,6.15,3.99,0.22,14.79,0.16,-52.35,1.117,0.056,62.744,0.984,2.907,6.776,51.53,4.98,8.198,1.169,4.475,0.5,1.15,37.93,2.125
2013.0,1.113,67.61,26.67,20.51,13.01,69.59,22.57,0.28,1.741,0.63,4.387,0.814,3.841,9.737,70.59,4.7,15.397,10.015,2.567,0.5,1.79,-2.68,0.437
2005.0,1.385,78.01,30.43,21.65,18.7,61.94,42.33,8.38,1.644,0.796,2.593,0.722,2.619,14.612,53.66,2.8,18.233,11.294,2.042,4.65,2.74,45.31,0.557
2007.0,1.33,27.76,15.5,10.1,21.77,175.12,47.48,5.72,3.343,2.09,7.299,0.88,2.26,15.378,33.54,2.35,13.329,23.341,2.342,5.51,2.62,9.68,0.486
